"204","Bonnyrigg High School","8.6 %","138","769","66","b'Govt. selective'","b'Metro'"
"205","Davidson High School","8.6 %","97","503","43","b'Government'","b'Metro'"
"206","Blakehurst High School","8.5 %","160","831","71","b'Government'","b'Metro'"
"207","St Patrick's College (Campbelltown)","8.4 %","95","534","45","b'Non-government'","b'Metro'"
"208","Gilroy Catholic College","8.4 %","157","940","79","b'Non-government'","b'Metro'"
"209","Xavier Catholic College,Skennars Head,NSW,2478","8.4 %","120","691","58","b'Non-government'","b'Country'"
"210","Belmont Christian College","8.3 %","43","240","20","b'Non-government'","b'Metro'"
"211","Meadowbank Education Trust School","8.3 %","103","531","44","b'\xc2\xa0'","b'\xc2\xa0'"
"212","Christian Brothers High School Lewisham","8.3 %","147","821","68","b'Non-government'","b'Metro'"
"212","Green Valley Islamic College","8.3 %","31","157","13","b'Non-government'","b'Metro'"
"214","Albury High School","8.2 %","126","740","61","b'Government'","b'Country'"
"215","Mary MacKillop Catholic College","8.2 %","121","735","60","b'Non-government'","b'Metro'"
"216","St Charbel's College","8.2 %","87","466","38","b'Non-government'","b'Metro'"
"217","Winmalee High School","8.1 %","125","676","55","b'Government'","b'Metro'"
"218","Coonabarabran High School","8.1 %","49","235","19","b'Government'","b'Country'"
"219","Champagnat Catholic College","8.1 %","67","433","35","b'Non-government'","b'Metro'"
"219","Holy Spirit Catholic College (Lakemba)","8.1 %","132","718","58","b'Non-government'","b'Metro'"
"221","Marian Catholic College (Griffith)","8.0 %","60","336","27","b'Non-government'","b'Country'"
"222","Inverell High School","8.0 %","46","262","21","b'Government'","b'Country'"
"222","Patrician Brothers' College Fairfield","8.0 %","171","972","78","b'Non-government'","b'Metro'"
"224","Bishop Druitt College","8.0 %","75","414","33","b'Non-government'","b'Country'"
"225","Hunter School of Performing Arts","7.9 %","133","749","59","b'Government'","b'Metro'"
"226","Marsden High School","7.9 %","75","382","30","b'Government'","b'Metro'"
"227","Good Samaritan Catholic College","7.8 %","126","741","58","b'Non-government'","b'Metro'"
"228","Fairvale High School","7.8 %","128","806","63","b'Government'","b'Metro'"
"229","Concord High School","7.8 %","120","653","51","b'Government'","b'Metro'"
"230","Ku-ring-gai High School","7.8 %","65","321","25","b'Government'","b'Metro'"
"231","Beverly Hills Girls High School","7.8 %","162","852","66","b'Government'","b'Metro'"
"231","St Stanislaus' College","7.8 %","94","581","45","b'Non-government'","b'Country'"
"233","Northholm Grammar School","7.7 %","40","207","16","b'Non-government'","b'Metro'"
"234","Bishop Tyrrell Anglican College","7.7 %","54","273","21","b'Non-government'","b'Metro'"
"235","Crestwood High School","7.6 %","136","708","54","b'Government'","b'Metro'"
"236","Kirrawee High School","7.6 %","165","887","67","b'Government'","b'Metro'"
"236","Muirfield High School","7.6 %","68","384","29","b'Government'","b'Metro'"
"238","Chevalier College (Bowral)","7.5 %","143","903","68","b'Non-government'","b'Country'"
"239","Mater Dei Catholic College","7.5 %","93","573","43","b'Non-government'","b'Country'"
"240","St Paul's College (Kempsey)","7.5 %","50","308","23","b'Non-government'","b'Country'"
"241","Canterbury Girls High School","7.4 %","89","445","33","b'Government'","b'Metro'"
"242","Lakes Grammar - An Anglican School","7.3 %","52","273","20","b'Non-government'","b'Metro'"
"243","The Illawarra Grammar School","7.2 %","92","500","36","b'Non-government'","b'Metro'"
"244","Blaxland High School","7.2 %","95","516","37","b'Government'","b'Metro'"
"245","Henry Kendall High School","7.1 %","75","394","28","b'Government'","b'Metro'"
"246","St Joseph's High School Aberdeen","7.1 %","71","411","29","b'Non-government'","b'Country'"
"247","St Mark's Catholic College","7.0 %","126","696","49","b'Non-government'","b'Metro'"
"248","Green Point Christian College","7.0 %","70","370","26","b'Non-government'","b'Country'"
"249","Holy Spirit College","7.0 %","146","817","57","b'Non-government'","b'Metro'"
"250","Toongabbie Christian School","6.9 %","64","335","23","b'Non-government'","b'Metro'"
"251","St Paul's Catholic College (Manly)","6.9 %","71","409","28","b'Non-government'","b'Metro'"
"252","St John Paul College","6.8 %","133","760","52","b'Non-government'","b'Country'"
"253","St Joseph's Catholic High School","6.8 %","106","630","43","b'Non-government'","b'Metro'"
"254","Woolooware High School","6.8 %","149","754","51","b'Government'","b'Metro'"
"255","St Bishoy Coptic Orthodox College (Mount Druitt)","6.7 %","19","104","7","b'Non-government'","b'Metro'"
"256","Mount Carmel Catholic College","6.6 %","127","739","49","b'Non-government'","b'Metro'"
"257","Al Amanah College (Liverpool)","6.6 %","24","136","9","b'Non-government'","b'Metro'"
"258","Kooringal High School","6.6 %","79","488","32","b'Govt. selective'","b'Country'"
"259","Prairiewood High School","6.6 %","132","718","47","b'Government'","b'Metro'"
"260","Menai High School","6.5 %","137","749","49","b'Government'","b'Metro'"
"261","Glenwood High School","6.4 %","186","1132","72","b'Government'","b'Metro'"
"262","Aquinas Catholic College","6.3 %","130","800","50","b'Non-government'","b'Metro'"
"263","St Leo's Catholic College","6.2 %","125","729","45","b'Non-government'","b'Metro'"
"263","Woolgoolga High School","6.2 %","53","308","19","b'Government'","b'Country'"
"265","Barrenjoey High School","6.1 %","78","407","25","b'Government'","b'Metro'"
"266","Nowra High School","6.1 %","91","555","34","b'Government'","b'Country'"
"267","Caroline Chisholm College","6.1 %","114","672","41","b'Non-government'","b'Metro'"
"267","Great Lakes College Senior Campus","6.1 %","157","852","52","b'Government'","b'Country'"
"269","La Salle Catholic College (Bankstown)","6.1 %","53","330","20","b'Non-government'","b'Metro'"
"270","Warners Bay High School","6.1 %","154","793","48","b'Government'","b'Country'"
"271","St Paul's Grammar School (Cranebrook)","6.0 %","36","235","14","b'Non-government'","b'Metro'"
"272","Cumberland High School","5.9 %","100","560","33","b'Government'","b'Metro'"
"273","Coffs Harbour Senior College","5.9 %","174","885","52","b'Government'","b'Country'"
"274","Kildare Catholic College","5.9 %","88","530","31","b'Non-government'","b'Country'"
"275","All Saints' College Bathurst","5.8 %","45","241","14","b'Non-government'","b'Country'"
"276","All Saints Grammar (Belmore)","5.7 %","44","245","14","b'Non-government'","b'Metro'"
"276","Bulli High School","5.7 %","93","508","29","b'Government'","b'Country'"
"278","Corpus Christi Catholic High School","5.7 %","117","684","39","b'Non-government'","b'Metro'"
"279","St Andrews College","5.7 %","161","914","52","b'Non-government'","b'Metro'"
"280","Trinity Anglican College (Albury)","5.7 %","49","247","14","b'Non-government'","b'Country'"
"281","Nagle College","5.7 %","111","655","37","b'Non-government'","b'Metro'"
"282","The Jannali High School","5.6 %","84","408","23","b'Government'","b'Metro'"
"283","INTI International College Penang","5.6 %","48","267","15","b'\xc2\xa0'","b'\xc2\xa0'"
"284","St Mary's College (Gunnedah)","5.6 %","43","251","14","b'Non-government'","b'Country'"
"285","Dulwich High School of Visual Arts and Design","5.6 %","64","306","17","b'Government'","b'Metro'"
"286","Maitland Christian School","5.5 %","30","145","8","b'Non-government'","b'Metro'"
